Nodes,AvgThroughput(Kbps)
2,816.517
4,819.557
6,812.423
8,442.399
10,341.283
12,262.456
14,216.468
16,180.328
18,177.977
20,156.021
22,159.949
24,143.928
26,123.19
28,126.432
30,127.213
