Nodes,AvgDelay(ms)
2,1.96721
4,4.0402
6,41.3017
8,452.511
10,464.035
12,466.349
14,469.451
16,468.179
18,470.376
20,480.432
22,468.298
24,470.225
26,491.344
28,474.1
30,480.808
